,ID,이름,생일,팀,시즌,포지션,나이,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR+
0,0,이종범,1970-08-15,해,1994,SS,25,124.0,561.0,499.0,113.0,196.0,27.0,5.0,19.0,290.0,77.0,84.0,15.0,51.0,6.0,14.0,31.0,2.0,1.0,4.0,0.39299999999999996,0.452,0.581,1.033,0.462,198.3,11.77
1,1,테임즈,1986-11-10,N,2015,1B,30,142.0,595.0,472.0,130.0,180.0,42.0,5.0,47.0,373.0,140.0,40.0,8.0,103.0,13.0,11.0,91.0,7.0,0.0,7.0,0.381,0.498,0.79,1.288,0.53,222.3,10.71
2,2,심정수,1975-05-05,현,2003,RF,29,133.0,601.0,460.0,110.0,154.0,16.0,1.0,53.0,331.0,142.0,6.0,2.0,124.0,9.0,17.0,63.0,14.0,0.0,8.0,0.335,0.478,0.72,1.197,0.498,210.7,10.19
3,0,이종범,1970-08-15,해,1997,SS,28,125.0,577.0,484.0,112.0,157.0,28.0,3.0,30.0,281.0,74.0,64.0,15.0,87.0,3.0,30.0,49.0,9.0,0.0,3.0,0.324,0.428,0.581,1.0090000000000001,0.431,173.2,9.7
4,0,이종범,1970-08-15,해,1996,SS,27,113.0,525.0,449.0,94.0,149.0,28.0,1.0,25.0,254.0,76.0,57.0,12.0,67.0,7.0,15.0,39.0,4.0,0.0,2.0,0.332,0.425,0.5660000000000001,0.991,0.44,184.6,9.52
5,3,이승엽,1976-08-18,삼,2002,1B,27,133.0,617.0,511.0,123.0,165.0,42.0,2.0,47.0,352.0,126.0,1.0,2.0,89.0,15.0,5.0,109.0,11.0,0.0,2.0,0.32299999999999995,0.436,0.6890000000000001,1.125,0.47200000000000003,198.5,8.96
6,3,이승엽,1976-08-18,삼,1999,1B,24,132.0,614.0,486.0,128.0,157.0,33.0,2.0,54.0,356.0,123.0,10.0,2.0,112.0,12.0,6.0,114.0,7.0,0.0,4.0,0.32299999999999995,0.45799999999999996,0.733,1.19,0.486,191.8,8.91
7,4,이대호,1982-06-21,롯,2010,3B,29,127.0,552.0,478.0,99.0,174.0,13.0,0.0,44.0,319.0,133.0,0.0,2.0,61.0,10.0,6.0,77.0,15.0,0.0,3.0,0.364,0.444,0.667,1.111,0.48200000000000004,192.4,8.82
8,5,장종훈,1968-04-10,빙,1991,1B,24,126.0,558.0,464.0,104.0,160.0,24.0,4.0,35.0,297.0,114.0,21.0,11.0,76.0,15.0,8.0,88.0,12.0,0.0,3.0,0.345,0.45,0.64,1.09,0.48200000000000004,204.2,8.79
9,6,홍현우,1972-09-28,해,1996,3B,25,126.0,549.0,443.0,83.0,147.0,30.0,4.0,17.0,236.0,67.0,18.0,9.0,97.0,4.0,10.0,64.0,8.0,1.0,4.0,0.332,0.45299999999999996,0.5329999999999999,0.985,0.442,186.1,8.75
10,7,양준혁,1969-05-26,삼,1996,RF,28,126.0,530.0,436.0,89.0,151.0,33.0,2.0,28.0,272.0,87.0,23.0,18.0,82.0,6.0,8.0,76.0,4.0,0.0,5.0,0.34600000000000003,0.452,0.624,1.0759999999999998,0.474,207.0,8.56
11,3,이승엽,1976-08-18,삼,2003,1B,28,131.0,596.0,479.0,115.0,144.0,23.0,0.0,56.0,335.0,144.0,7.0,0.0,101.0,10.0,9.0,89.0,11.0,0.0,6.0,0.301,0.428,0.6990000000000001,1.127,0.47100000000000003,191.2,8.39
12,8,브룸바,1974-04-21,현,2004,LF,31,132.0,594.0,475.0,92.0,163.0,25.0,1.0,33.0,289.0,105.0,7.0,8.0,114.0,1.0,10.0,79.0,10.0,0.0,4.0,0.34299999999999997,0.46799999999999997,0.608,1.0759999999999998,0.473,190.6,8.37
13,9,박경완,1972-07-11,S,2004,C,33,132.0,526.0,410.0,94.0,121.0,19.0,1.0,34.0,244.0,79.0,2.0,5.0,94.0,14.0,3.0,126.0,9.0,6.0,2.0,0.295,0.44,0.595,1.036,0.451,177.9,8.36
14,10,강정호,1987-04-05,넥,2012,SS,26,124.0,519.0,436.0,77.0,137.0,32.0,0.0,25.0,244.0,82.0,21.0,5.0,71.0,6.0,8.0,78.0,16.0,1.0,5.0,0.314,0.413,0.56,0.973,0.43799999999999994,179.8,8.23
15,7,양준혁,1969-05-26,삼,1997,RF,29,126.0,561.0,442.0,94.0,145.0,32.0,5.0,30.0,277.0,98.0,25.0,17.0,103.0,7.0,27.0,75.0,7.0,0.0,8.0,0.32799999999999996,0.455,0.627,1.082,0.457,189.3,8.17
16,11,이병규,1974-10-25,L,1999,CF,26,131.0,599.0,550.0,117.0,192.0,43.0,8.0,30.0,341.0,99.0,31.0,3.0,34.0,9.0,6.0,65.0,11.0,2.0,4.0,0.349,0.39399999999999996,0.62,1.014,0.426,155.2,8.07
17,10,강정호,1987-04-05,넥,2014,SS,28,117.0,501.0,418.0,103.0,149.0,36.0,2.0,40.0,309.0,117.0,3.0,3.0,68.0,13.0,2.0,106.0,8.0,0.0,2.0,0.35600000000000004,0.45899999999999996,0.7390000000000001,1.198,0.5,185.6,8.05
18,12,박석민,1985-06-22,삼,2012,3B,28,127.0,549.0,443.0,79.0,138.0,19.0,3.0,23.0,232.0,91.0,2.0,3.0,72.0,27.0,5.0,83.0,8.0,2.0,5.0,0.312,0.433,0.524,0.9570000000000001,0.43799999999999994,179.9,7.89
19,13,호세,1965-06-02,롯,2001,LF,37,117.0,499.0,367.0,90.0,123.0,20.0,2.0,36.0,255.0,102.0,7.0,4.0,127.0,1.0,28.0,72.0,4.0,0.0,4.0,0.335,0.503,0.695,1.198,0.498,199.3,7.89
20,14,로하스,1990-05-24,K,2020,RF,31,142.0,628.0,550.0,116.0,192.0,39.0,1.0,47.0,374.0,135.0,0.0,1.0,65.0,5.0,5.0,132.0,11.0,0.0,8.0,0.349,0.41700000000000004,0.68,1.097,0.467,180.8,7.8
21,15,박병호,1986-07-10,넥,2015,1B,30,140.0,622.0,528.0,129.0,181.0,35.0,1.0,53.0,377.0,146.0,10.0,3.0,78.0,12.0,6.0,161.0,10.0,0.0,4.0,0.34299999999999997,0.436,0.7140000000000001,1.15,0.48100000000000004,181.9,7.76
22,16,최형우,1983-12-16,삼,2016,LF,34,138.0,618.0,519.0,99.0,195.0,46.0,2.0,31.0,338.0,144.0,2.0,2.0,83.0,9.0,8.0,83.0,12.0,0.0,7.0,0.376,0.46399999999999997,0.6509999999999999,1.1159999999999999,0.48,177.8,7.75
23,5,장종훈,1968-04-10,빙,1992,1B,25,125.0,556.0,431.0,106.0,129.0,28.0,2.0,41.0,284.0,119.0,13.0,5.0,106.0,13.0,15.0,99.0,5.0,0.0,6.0,0.299,0.446,0.659,1.105,0.469,188.2,7.74
24,16,최형우,1983-12-16,삼,2011,LF,29,133.0,571.0,480.0,80.0,163.0,37.0,3.0,30.0,296.0,118.0,4.0,3.0,76.0,5.0,15.0,88.0,8.0,0.0,10.0,0.34,0.42700000000000005,0.617,1.044,0.457,182.2,7.64
25,17,서건창,1989-08-22,넥,2014,2B,26,128.0,616.0,543.0,135.0,201.0,41.0,17.0,7.0,297.0,67.0,48.0,17.0,59.0,8.0,0.0,47.0,1.0,4.0,2.0,0.37,0.43799999999999994,0.547,0.985,0.43700000000000006,150.9,7.63
26,18,박재홍,1973-09-07,현,1996,CF,24,126.0,547.0,481.0,75.0,142.0,29.0,4.0,30.0,269.0,108.0,36.0,17.0,53.0,7.0,7.0,107.0,7.0,0.0,6.0,0.295,0.369,0.5589999999999999,0.929,0.41100000000000003,166.2,7.5
27,9,박경완,1972-07-11,현,2000,C,29,130.0,517.0,408.0,83.0,115.0,16.0,0.0,40.0,251.0,95.0,7.0,4.0,87.0,12.0,7.0,112.0,7.0,6.0,4.0,0.282,0.419,0.615,1.034,0.43200000000000005,162.6,7.47
28,19,김재환,1988-09-22,두,2017,LF,30,144.0,636.0,544.0,110.0,185.0,34.0,2.0,35.0,328.0,115.0,4.0,1.0,81.0,7.0,10.0,123.0,8.0,0.0,4.0,0.34,0.429,0.603,1.032,0.44,170.7,7.45
29,2,심정수,1975-05-05,현,2002,RF,28,133.0,577.0,502.0,101.0,161.0,22.0,1.0,46.0,323.0,119.0,2.0,1.0,69.0,3.0,10.0,114.0,13.0,0.0,3.0,0.321,0.40399999999999997,0.643,1.047,0.44,177.7,7.45
30,20,김동주,1976-02-03,두,2007,3B,32,119.0,481.0,382.0,68.0,123.0,24.0,0.0,19.0,204.0,78.0,11.0,2.0,83.0,14.0,11.0,55.0,10.0,0.0,2.0,0.322,0.457,0.534,0.991,0.449,184.7,7.42
31,21,장효조,1956-07-06,삼,1983,LF,28,92.0,386.0,317.0,61.0,117.0,19.0,3.0,18.0,196.0,62.0,22.0,2.0,58.0,6.0,6.0,39.0,1.0,0.0,5.0,0.369,0.469,0.618,1.087,0.483,215.4,7.4
32,22,유지현,1971-05-25,L,1994,SS,24,126.0,574.0,482.0,109.0,147.0,20.0,0.0,15.0,212.0,51.0,51.0,10.0,64.0,8.0,0.0,60.0,4.0,14.0,6.0,0.305,0.391,0.44,0.831,0.376,141.5,7.35
33,23,김기태,1969-05-23,쌍,1997,1B,29,111.0,478.0,390.0,95.0,134.0,30.0,3.0,26.0,248.0,79.0,10.0,7.0,84.0,2.0,14.0,54.0,11.0,0.0,2.0,0.344,0.46,0.636,1.0959999999999999,0.47200000000000003,202.6,7.3
34,24,최정,1987-02-28,S,2012,3B,26,130.0,553.0,474.0,85.0,142.0,33.0,1.0,26.0,255.0,84.0,20.0,8.0,49.0,21.0,7.0,98.0,8.0,3.0,6.0,0.3,0.386,0.5379999999999999,0.9229999999999999,0.41600000000000004,164.7,7.29
35,23,김기태,1969-05-23,쌍,1998,1B,30,126.0,541.0,434.0,84.0,134.0,28.0,4.0,31.0,263.0,90.0,10.0,5.0,104.0,0.0,15.0,79.0,11.0,0.0,3.0,0.309,0.44,0.606,1.046,0.445,186.5,7.28
