,이름,생일,시즌,연봉(만원),연차
0,테임즈,1986-11-10,2014,25000,1
1,테임즈,1986-11-10,2015,125000,2
2,테임즈,1986-11-10,2016,900000,3
3,심정수,1975-05-05,1994,,1
4,심정수,1975-05-05,1995,,2
5,심정수,1975-05-05,1996,,3
6,심정수,1975-05-05,1997,5500,4
7,심정수,1975-05-05,1998,5100,5
8,심정수,1975-05-05,1999,7000,6
9,심정수,1975-05-05,2000,10000,7
10,심정수,1975-05-05,2001,16000,8
11,심정수,1975-05-05,2002,16000,9
12,심정수,1975-05-05,2003,31000,10
13,심정수,1975-05-05,2004,60000,11
14,심정수,1975-05-05,2005,75000,12
15,심정수,1975-05-05,2006,75000,13
16,심정수,1975-05-05,2007,75000,14
17,심정수,1975-05-05,2008,75000,15
18,이승엽,1976-08-18,1995,,1
19,이승엽,1976-08-18,1996,,2
20,이승엽,1976-08-18,1997,6500,3
21,이승엽,1976-08-18,1998,8500,4
22,이승엽,1976-08-18,1999,11000,5
23,이승엽,1976-08-18,2000,30000,6
24,이승엽,1976-08-18,2001,30000,7
25,이승엽,1976-08-18,2002,41000,8
26,이승엽,1976-08-18,2003,63000,9
27,이승엽,1976-08-18,2012,80000,18
28,이승엽,1976-08-18,2013,80000,19
29,이승엽,1976-08-18,2014,80000,20
30,이승엽,1976-08-18,2015,100000,21
31,이승엽,1976-08-18,2016,100000,22
32,이승엽,1976-08-18,2017,900000,23
33,이대호,1982-06-21,2001,,1
34,이대호,1982-06-21,2002,2000,2
35,이대호,1982-06-21,2003,3200,3
36,이대호,1982-06-21,2004,3700,4
37,이대호,1982-06-21,2005,7000,5
38,이대호,1982-06-21,2006,13000,6
39,이대호,1982-06-21,2007,32000,7
40,이대호,1982-06-21,2008,36000,8
41,이대호,1982-06-21,2009,36000,9
42,이대호,1982-06-21,2010,39000,10
43,이대호,1982-06-21,2011,63000,11
44,이대호,1982-06-21,2017,250000,17
45,이대호,1982-06-21,2018,250000,18
46,이대호,1982-06-21,2019,250000,19
47,이대호,1982-06-21,2020,250000,20
48,브룸바,1974-04-21,2003,,1
49,브룸바,1974-04-21,2004,,2
50,브룸바,1974-04-21,2007,,5
51,브룸바,1974-04-21,2008,,6
52,브룸바,1974-04-21,2009,,7
53,박경완,1972-07-11,1991,,1
54,박경완,1972-07-11,1992,,2
55,박경완,1972-07-11,1993,,3
56,박경완,1972-07-11,1994,,4
57,박경완,1972-07-11,1995,,5
58,박경완,1972-07-11,1996,,6
59,박경완,1972-07-11,1997,,7
60,박경완,1972-07-11,1998,8000,8
61,박경완,1972-07-11,1999,10500,9
62,박경완,1972-07-11,2000,11500,10
63,박경완,1972-07-11,2001,23000,11
64,박경완,1972-07-11,2002,28000,12
65,박경완,1972-07-11,2003,30000,13
66,박경완,1972-07-11,2004,30000,14
67,박경완,1972-07-11,2005,30000,15
