,ID,이름,생일,팀,시즌,포지션,나이,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR+,연봉(만원),연차
2,2,심정수,1975-05-05,현,2003,RF,29,133.0,601.0,460.0,110.0,154.0,16.0,1.0,53.0,331.0,142.0,6.0,2.0,124.0,9.0,17.0,63.0,14.0,0.0,8.0,0.335,0.478,0.72,1.197,0.498,210.7,10.19,31000.0,10.0
5,3,이승엽,1976-08-18,삼,2002,1B,27,133.0,617.0,511.0,123.0,165.0,42.0,2.0,47.0,352.0,126.0,1.0,2.0,89.0,15.0,5.0,109.0,11.0,0.0,2.0,0.32299999999999995,0.436,0.6890000000000001,1.125,0.472,198.5,8.96,41000.0,8.0
6,3,이승엽,1976-08-18,삼,1999,1B,24,132.0,614.0,486.0,128.0,157.0,33.0,2.0,54.0,356.0,123.0,10.0,2.0,112.0,12.0,6.0,114.0,7.0,0.0,4.0,0.32299999999999995,0.458,0.733,1.19,0.486,191.8,8.91,11000.0,5.0
7,4,이대호,1982-06-21,롯,2010,3B,29,127.0,552.0,478.0,99.0,174.0,13.0,0.0,44.0,319.0,133.0,0.0,2.0,61.0,10.0,6.0,77.0,15.0,0.0,3.0,0.364,0.444,0.667,1.111,0.482,192.4,8.82,39000.0,10.0
11,3,이승엽,1976-08-18,삼,2003,1B,28,131.0,596.0,479.0,115.0,144.0,23.0,0.0,56.0,335.0,144.0,7.0,0.0,101.0,10.0,9.0,89.0,11.0,0.0,6.0,0.301,0.428,0.6990000000000001,1.127,0.471,191.2,8.39,63000.0,9.0
13,9,박경완,1972-07-11,S,2004,C,33,132.0,526.0,410.0,94.0,121.0,19.0,1.0,34.0,244.0,79.0,2.0,5.0,94.0,14.0,3.0,126.0,9.0,6.0,2.0,0.295,0.44,0.595,1.036,0.451,177.9,8.36,30000.0,14.0
14,10,강정호,1987-04-05,넥,2012,SS,26,124.0,519.0,436.0,77.0,137.0,32.0,0.0,25.0,244.0,82.0,21.0,5.0,71.0,6.0,8.0,78.0,16.0,1.0,5.0,0.314,0.413,0.56,0.973,0.438,179.8,8.23,18000.0,7.0
15,7,양준혁,1969-05-26,삼,1997,RF,29,126.0,561.0,442.0,94.0,145.0,32.0,5.0,30.0,277.0,98.0,25.0,17.0,103.0,7.0,27.0,75.0,7.0,0.0,8.0,0.328,0.455,0.627,1.082,0.457,189.3,8.17,12000.0,5.0
16,11,이병규,1974-10-25,L,1999,CF,26,131.0,599.0,550.0,117.0,192.0,43.0,8.0,30.0,341.0,99.0,31.0,3.0,34.0,9.0,6.0,65.0,11.0,2.0,4.0,0.349,0.394,0.62,1.014,0.426,155.2,8.07,6000.0,3.0
18,12,박석민,1985-06-22,삼,2012,3B,28,127.0,549.0,443.0,79.0,138.0,19.0,3.0,23.0,232.0,91.0,2.0,3.0,72.0,27.0,5.0,83.0,8.0,2.0,5.0,0.312,0.433,0.524,0.957,0.438,179.9,7.89,18000.0,9.0
21,15,박병호,1986-07-10,넥,2015,1B,30,140.0,622.0,528.0,129.0,181.0,35.0,1.0,53.0,377.0,146.0,10.0,3.0,78.0,12.0,6.0,161.0,10.0,0.0,4.0,0.343,0.436,0.7140000000000001,1.15,0.481,181.9,7.76,70000.0,11.0
22,16,최형우,1983-12-16,삼,2016,LF,34,138.0,618.0,519.0,99.0,195.0,46.0,2.0,31.0,338.0,144.0,2.0,2.0,83.0,9.0,8.0,83.0,12.0,0.0,7.0,0.376,0.464,0.6509999999999999,1.116,0.48,177.8,7.75,70000.0,15.0
24,16,최형우,1983-12-16,삼,2011,LF,29,133.0,571.0,480.0,80.0,163.0,37.0,3.0,30.0,296.0,118.0,4.0,3.0,76.0,5.0,15.0,88.0,8.0,0.0,10.0,0.34,0.4270000000000001,0.617,1.044,0.457,182.2,7.64,18500.0,10.0
25,17,서건창,1989-08-22,넥,2014,2B,26,128.0,616.0,543.0,135.0,201.0,41.0,17.0,7.0,297.0,67.0,48.0,17.0,59.0,8.0,0.0,47.0,1.0,4.0,2.0,0.37,0.438,0.547,0.985,0.4370000000000001,150.9,7.63,9300.0,7.0
27,9,박경완,1972-07-11,현,2000,C,29,130.0,517.0,408.0,83.0,115.0,16.0,0.0,40.0,251.0,95.0,7.0,4.0,87.0,12.0,7.0,112.0,7.0,6.0,4.0,0.282,0.419,0.615,1.034,0.4320000000000001,162.6,7.47,11500.0,10.0
28,19,김재환,1988-09-22,두,2017,LF,30,144.0,636.0,544.0,110.0,185.0,34.0,2.0,35.0,328.0,115.0,4.0,1.0,81.0,7.0,10.0,123.0,8.0,0.0,4.0,0.34,0.429,0.603,1.032,0.44,170.7,7.45,20000.0,10.0
29,2,심정수,1975-05-05,현,2002,RF,28,133.0,577.0,502.0,101.0,161.0,22.0,1.0,46.0,323.0,119.0,2.0,1.0,69.0,3.0,10.0,114.0,13.0,0.0,3.0,0.321,0.404,0.643,1.047,0.44,177.7,7.45,16000.0,9.0
30,20,김동주,1976-02-03,두,2007,3B,32,119.0,481.0,382.0,68.0,123.0,24.0,0.0,19.0,204.0,78.0,11.0,2.0,83.0,14.0,11.0,55.0,10.0,0.0,2.0,0.322,0.457,0.534,0.991,0.449,184.7,7.42,42000.0,10.0
33,23,김기태,1969-05-23,쌍,1997,1B,29,111.0,478.0,390.0,95.0,134.0,30.0,3.0,26.0,248.0,79.0,10.0,7.0,84.0,2.0,14.0,54.0,11.0,0.0,2.0,0.344,0.46,0.636,1.096,0.472,202.6,7.3,10100.0,7.0
34,24,최정,1987-02-28,S,2012,3B,26,130.0,553.0,474.0,85.0,142.0,33.0,1.0,26.0,255.0,84.0,20.0,8.0,49.0,21.0,7.0,98.0,8.0,3.0,6.0,0.3,0.386,0.5379999999999999,0.923,0.416,164.7,7.29,28000.0,8.0
35,23,김기태,1969-05-23,쌍,1998,1B,30,126.0,541.0,434.0,84.0,134.0,28.0,4.0,31.0,263.0,90.0,10.0,5.0,104.0,0.0,15.0,79.0,11.0,0.0,3.0,0.309,0.44,0.606,1.046,0.445,186.5,7.28,10100.0,8.0
36,20,김동주,1976-02-03,두,2000,3B,25,127.0,539.0,469.0,78.0,159.0,29.0,1.0,31.0,283.0,106.0,5.0,2.0,51.0,13.0,1.0,65.0,17.0,0.0,6.0,0.339,0.414,0.603,1.017,0.439,168.2,7.28,6200.0,3.0
37,25,김하성,1995-10-17,키,2019,SS,25,139.0,625.0,540.0,112.0,166.0,38.0,2.0,19.0,265.0,104.0,33.0,4.0,70.0,7.0,4.0,80.0,12.0,1.0,7.0,0.307,0.389,0.491,0.88,0.397,146.2,7.22,32000.0,6.0
39,27,마해영,1970-08-14,롯,1999,1B,30,132.0,579.0,503.0,111.0,187.0,38.0,4.0,35.0,338.0,119.0,6.0,9.0,59.0,10.0,5.0,65.0,11.0,0.0,7.0,0.3720000000000001,0.442,0.672,1.114,0.468,180.7,7.18,7600.0,5.0
40,28,김현수,1988-01-12,두,2008,LF,21,126.0,558.0,470.0,83.0,168.0,34.0,5.0,9.0,239.0,89.0,13.0,8.0,80.0,5.0,1.0,40.0,12.0,0.0,2.0,0.35700000000000004,0.454,0.509,0.963,0.446,176.5,7.14,4200.0,3.0
41,24,최정,1987-02-28,S,2013,3B,27,120.0,525.0,434.0,75.0,137.0,18.0,0.0,28.0,239.0,83.0,24.0,8.0,64.0,24.0,9.0,109.0,10.0,1.0,2.0,0.316,0.429,0.551,0.98,0.441,167.3,7.11,52000.0,9.0
42,0,이종범,1970-08-15,K,2003,CF,34,132.0,595.0,524.0,110.0,165.0,43.0,1.0,20.0,270.0,61.0,50.0,10.0,59.0,7.0,5.0,58.0,8.0,1.0,4.0,0.315,0.389,0.515,0.904,0.399,142.8,7.11,45000.0,11.0
43,29,최익성,1972-02-11,삼,1997,CF,26,122.0,568.0,480.0,107.0,142.0,25.0,2.0,22.0,237.0,65.0,33.0,5.0,61.0,18.0,1.0,81.0,6.0,7.0,2.0,0.29600000000000004,0.394,0.494,0.888,0.395,148.0,7.1,3000.0,4.0
44,15,박병호,1986-07-10,넥,2013,1B,28,128.0,556.0,450.0,91.0,143.0,17.0,0.0,37.0,271.0,117.0,10.0,2.0,92.0,8.0,4.0,96.0,7.0,0.0,6.0,0.318,0.4370000000000001,0.602,1.039,0.462,181.1,7.02,22000.0,9.0
45,30,박건우,1990-09-08,두,2017,CF,28,131.0,543.0,483.0,91.0,177.0,40.0,2.0,20.0,281.0,78.0,20.0,3.0,41.0,10.0,2.0,64.0,15.0,5.0,4.0,0.366,0.424,0.5820000000000001,1.006,0.433,163.7,7.0,19500.0,9.0
46,4,이대호,1982-06-21,롯,2007,1B,26,121.0,514.0,415.0,79.0,139.0,21.0,1.0,29.0,249.0,87.0,1.0,0.0,81.0,13.0,25.0,55.0,9.0,0.0,5.0,0.335,0.453,0.6,1.053,0.461,194.2,7.0,32000.0,7.0
