,선수,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR+,생일
0,테임즈15N1B,142,595,472,130,180,42,5,47,373,140,40,8,103,13,11,91,7,0,7,.381,.498,.790,1.288,.530,222.3,10.71,1986-11-10
1,브룸바04현LF,132,594,475,92,163,25,1,33,289,105,7,8,114,1,10,79,10,0,4,.343,.468,.608,1.076,.473,190.6,8.37,1974-04-21
2,호세01롯LF,117,499,367,90,123,20,2,36,255,102,7,4,127,1,28,72,4,0,4,.335,.503,.695,1.198,.498,199.3,7.89,1965-06-02
3,로하스20KRF,142,628,550,116,192,39,1,47,374,135,0,1,65,5,5,132,11,0,8,.349,.417,.680,1.097,.467,180.8,7.80,1990-05-24
4,호세99롯LF,132,553,462,93,151,29,3,36,294,122,12,3,79,5,7,119,8,0,7,.327,.425,.636,1.061,.443,164.4,6.64,1965-06-02
5,나바로15삼2B,140,643,534,126,153,19,1,48,318,137,22,6,93,6,8,72,10,1,9,.287,.393,.596,.988,.416,143.1,6.45,1987-10-31
6,페르난데스02S3B,132,556,499,81,140,24,0,45,299,107,4,4,49,7,2,114,8,0,1,.281,.353,.599,.952,.404,153.3,6.39,1974-11-02
7,우즈98O1B,126,521,452,77,138,14,1,42,280,103,1,2,65,2,5,115,13,0,2,.305,.394,.619,1.013,.434,181.2,6.38,1969-08-19
8,데이비스05한CF,118,507,431,90,139,24,0,24,235,86,7,3,65,5,7,76,8,0,6,.323,.412,.545,.958,.424,160.4,6.35,1969-10-03
9,쿨바98현3B,115,471,410,68,130,27,1,26,237,97,2,3,51,5,3,102,5,0,5,.317,.395,.578,.973,.421,169.8,6.35,1966-06-13
10,테임즈14N1B,125,514,443,95,152,30,6,37,305,121,11,2,58,7,5,99,6,0,6,.343,.422,.688,1.111,.464,168.3,6.32,1986-11-10
11,브리또01SSS,122,510,422,59,135,27,0,22,228,80,7,3,57,24,7,53,12,2,5,.320,.425,.540,.966,.426,151.0,6.23,1972-05-28
12,나바로14삼2B,125,602,500,118,154,27,1,31,276,98,25,9,96,1,1,71,7,0,5,.308,.417,.552,.969,.424,139.2,6.23,1987-10-31
13,샌즈19키RF,139,613,525,100,160,39,1,28,285,113,1,2,77,6,1,101,17,0,5,.305,.396,.543,.939,.421,163.6,6.21,1987-09-28
14,우즈00두1B,127,565,479,91,151,22,0,39,290,111,4,1,77,6,5,132,13,0,3,.315,.414,.605,1.020,.437,166.6,6.12,1969-08-19
15,서튼05현LF,119,521,424,76,124,18,2,35,251,102,0,2,86,4,8,101,3,0,7,.292,.411,.592,1.003,.435,168.8,6.05,1970-05-14
16,데이비스01한CF,130,564,496,95,166,21,0,30,277,96,15,9,60,2,9,74,15,0,6,.335,.404,.558,.963,.421,145.8,6.04,1969-10-03
17,테임즈16N1B,123,529,436,118,140,30,3,40,296,121,13,4,74,12,6,103,2,0,7,.321,.427,.679,1.106,.463,170.5,5.97,1986-11-10
18,데이비스99한CF,130,578,525,93,172,31,3,30,299,106,35,18,41,5,1,93,14,2,5,.328,.379,.570,.948,.404,138.0,5.79,1969-10-03
19,로하스18KCF,144,645,564,114,172,30,1,43,333,114,18,13,71,7,4,142,10,1,2,.305,.388,.590,.979,.410,138.5,5.66,1990-05-24
20,브룸바07현DH,126,547,438,75,135,13,0,29,235,87,3,2,100,4,12,70,17,0,5,.308,.437,.537,.974,.437,174.1,5.56,1974-04-21
21,로하스19KCF,142,577,520,68,167,29,3,24,274,104,4,4,49,3,5,120,4,0,5,.321,.380,.527,.907,.405,150.6,5.47,1990-05-24
22,브리또00SSS,103,452,405,65,137,26,4,15,216,70,3,2,31,11,2,55,8,3,2,.338,.399,.533,.932,.408,144.9,5.29,1972-05-28
23,러프18삼1B,137,597,506,97,167,32,4,33,306,125,5,3,65,18,0,107,17,0,8,.330,.419,.605,1.024,.432,152.9,5.28,1986-07-28
24,로사리오17한1B,119,510,445,100,151,30,1,37,294,111,10,5,50,10,4,61,12,0,5,.339,.414,.661,1.074,.450,165.3,5.18,1989-02-23
25,페르난데스19두DH,144,645,572,87,197,34,0,15,276,88,1,2,61,6,4,54,16,0,6,.344,.409,.483,.892,.408,155.2,5.15,1988-04-27
26,버나디나17KCF,139,621,557,118,178,26,8,27,301,111,32,7,41,11,2,112,9,3,9,.320,.372,.540,.913,.390,128.4,5.12,1984-06-12
27,페타지니09LDH,115,498,388,62,129,16,0,26,223,100,2,0,97,7,9,70,7,0,6,.332,.468,.575,1.043,.454,170.5,5.12,1971-06-02
28,크루즈07한DH,121,498,418,68,134,30,0,22,230,85,1,0,69,7,6,73,15,0,4,.321,.422,.550,.972,.438,174.1,5.10,1973-01-28
29,브리또02삼SS,128,545,481,89,136,29,0,25,240,90,1,2,35,21,3,84,10,4,4,.283,.355,.499,.854,.369,128.1,5.07,1972-05-28
30,데이비스06한CF,117,479,415,62,118,21,0,21,202,74,7,6,55,4,7,85,10,0,5,.284,.370,.487,.856,.388,147.3,4.98,1969-10-03
31,로마이어99한DH,132,572,487,91,142,30,3,45,313,109,6,2,74,6,4,100,8,0,5,.292,.388,.643,1.031,.426,152.4,4.93,1965-09-27
32,우즈01두1B,118,525,436,101,127,16,2,34,249,113,12,3,83,1,4,114,11,0,5,.291,.402,.571,.973,.423,150.2,4.90,1969-08-19
33,히메네스16L3B,135,579,523,101,161,36,0,26,275,102,18,9,39,10,2,67,8,1,6,.308,.363,.526,.889,.388,126.8,4.85,1988-01-18
34,마르테15k3B,115,487,425,85,148,32,1,20,242,89,0,0,51,2,7,60,19,0,8,.348,.414,.569,.983,.424,149.0,4.83,1983-10-21
35,로맥18S1B,141,616,528,102,167,19,0,43,315,107,10,5,72,10,0,123,7,0,6,.316,.404,.597,1.001,.422,144.1,4.78,1985-09-30
36,아두치15롯CF,132,594,526,105,165,34,5,28,293,106,24,10,55,8,8,118,9,1,4,.314,.385,.557,.942,.405,135.2,4.71,1985-05-15
37,데이비스00한CF,107,458,419,72,140,29,1,22,237,80,21,7,25,2,1,92,15,3,9,.334,.367,.566,.933,.399,137.8,4.70,1969-10-03
38,프랑코00삼RF,132,549,477,79,156,19,1,22,243,110,12,5,63,2,5,86,11,0,7,.327,.403,.509,.912,.401,139.5,4.69,1961-08-23
39,데이비스04한CF,119,510,440,70,128,26,1,19,213,77,9,5,61,3,4,89,12,2,4,.291,.378,.484,.862,.387,131.4,4.61,1969-10-03
40,우즈99두1B,124,544,454,90,135,20,0,34,257,101,5,2,83,3,8,126,14,0,4,.297,.406,.566,.972,.412,146.1,4.55,1969-08-19
41,가르시아08롯RF,125,513,460,68,130,25,2,30,249,111,2,1,48,3,6,100,10,0,2,.283,.353,.541,.894,.399,144.9,4.55,1975-10-29
42,버나디나18KCF,131,590,513,106,159,25,3,20,250,70,32,13,63,10,3,103,9,3,1,.310,.395,.487,.883,.385,125.4,4.55,1984-06-12
43,호세06롯DH,122,504,415,59,115,21,0,22,202,78,3,2,84,2,5,83,13,0,3,.277,.399,.487,.886,.405,163.0,4.47,1965-06-02
44,클락08한CF,125,546,472,96,116,25,3,22,213,79,25,5,63,5,4,78,8,1,5,.246,.338,.451,.789,.359,115.8,4.44,1976-03-05
45,샌더스99해1B,125,526,409,86,101,14,0,40,235,94,3,0,105,7,1,133,5,4,1,.247,.408,.575,.983,.414,145.0,4.43,1969-07-26
46,로맥20S1B,139,586,485,85,137,32,0,32,265,91,4,2,91,6,5,116,5,0,4,.282,.399,.546,.946,.414,142.5,4.38,1985-09-30
47,라모스20L1B,117,494,431,74,120,17,2,38,255,86,2,0,55,4,5,136,7,0,4,.278,.362,.592,.954,.407,153.8,4.37,1994-12-28
48,알테어20NCF,136,546,482,90,134,20,7,31,261,108,22,3,46,12,3,149,10,0,6,.278,.352,.541,.893,.387,123.7,4.37,1991-01-14
49,스크럭스17N1B,115,518,437,91,131,24,0,35,260,111,4,0,65,12,2,134,9,0,4,.300,.402,.595,.997,.423,150.1,4.26,1987-09-23
50,에레라01SCF,103,450,418,61,142,27,1,15,216,63,15,7,24,5,4,53,11,1,2,.340,.381,.517,.898,.399,132.8,4.22,1972-08-30
51,러프19삼1B,133,568,472,80,138,35,2,22,243,101,6,3,80,7,6,87,18,0,9,.292,.396,.515,.911,.406,145.9,4.19,1986-07-28
52,데이비스02한CF,115,456,404,56,116,23,1,21,204,72,14,9,46,4,5,97,6,0,2,.287,.364,.505,.869,.377,132.9,4.17,1969-10-03
53,로맥19S1B,137,589,504,86,139,28,1,29,256,95,6,3,73,6,3,117,11,0,6,.276,.370,.508,.878,.393,137.1,4.06,1985-09-30
54,디아즈03S3B,112,485,439,56,125,26,0,22,217,63,5,0,32,10,1,47,11,0,4,.285,.344,.494,.839,.371,123.5,4.04,1971-09-29
55,클리어05LRF,110,453,402,64,122,23,4,15,198,61,19,5,36,10,3,85,8,0,5,.303,.371,.493,.863,.387,137.7,4.03,1973-08-21
56,러프17삼1B,134,591,515,90,162,38,0,31,293,124,2,2,60,12,4,107,14,0,4,.315,.396,.569,.965,.414,142.6,3.92,1986-07-28
57,클락09히LF,125,559,486,85,141,24,4,24,245,90,23,8,65,3,2,85,14,0,2,.290,.376,.504,.880,.386,124.1,3.88,1976-03-05
58,에반스16두DH,118,481,400,69,123,31,0,24,226,81,0,0,69,5,0,90,10,0,7,.308,.410,.565,.975,.425,150.6,3.76,1986-01-30
59,호잉18한RF,142,590,529,85,162,47,2,30,303,110,23,9,51,5,10,93,5,0,5,.306,.370,.573,.942,.391,124.8,3.72,1989-05-18
60,호잉19한RF,124,525,476,74,135,26,2,18,219,73,22,7,38,5,5,90,6,1,5,.284,.340,.460,.800,.359,120.6,3.50,1989-05-18
61,스미스00삼LDH,118,484,423,71,122,27,1,35,256,100,0,1,53,2,3,120,17,0,6,.288,.366,.605,.971,.409,145.9,3.49,1969-12-18
62,발데스07LRF,116,512,435,50,123,15,0,13,177,72,4,1,70,2,4,49,14,0,5,.283,.381,.407,.788,.368,127.1,3.37,1973-06-29
63,퀸란00현3B,133,537,487,74,115,23,2,37,253,91,2,1,36,11,1,173,6,1,2,.236,.302,.520,.822,.350,106.4,3.30,1968-03-27
64,마차도20롯SS,144,560,486,79,136,31,1,12,205,67,15,1,54,8,2,60,20,4,8,.280,.356,.422,.778,.351,102.4,3.25,1992-02-22
65,스미스99삼LF,123,442,408,70,117,20,1,40,259,98,1,1,25,2,2,100,8,1,6,.287,.327,.635,.961,.391,130.3,3.22,1969-12-18
66,터커19KRF,95,399,357,50,111,33,0,9,171,50,0,0,38,3,0,44,12,0,1,.311,.381,.479,.860,.393,140.4,3.21,1990-07-06
67,로마이어00한DH,123,534,473,73,140,30,0,29,257,96,3,2,53,4,2,115,19,0,4,.296,.369,.543,.912,.395,135.4,3.19,1965-09-27
68,에반스17두DH,138,581,514,82,152,19,0,27,252,90,2,0,61,3,0,114,15,0,3,.296,.372,.490,.862,.379,128.6,3.18,1986-01-30
69,서튼06현DH,93,394,331,50,88,18,1,18,162,61,0,0,59,2,2,72,9,0,2,.266,.378,.489,.868,.397,155.2,3.17,1970-05-14
70,페타지니08L1B,68,259,216,29,75,17,1,7,115,35,1,0,40,2,1,26,5,0,1,.347,.452,.532,.984,.452,180.8,3.16,1971-06-02
71,펠로우05롯RF,109,443,398,56,113,15,1,23,199,69,3,4,30,11,2,84,6,0,4,.284,.348,.500,.848,.378,131.8,3.14,1973-08-28
72,이시온03롯,90,377,338,45,98,19,1,13,158,45,7,1,33,6,1,92,10,0,0,.290,.363,.467,.831,.373,125.0,3.10,1975-09-24
73,칸투14두1B,111,419,376,56,116,25,1,18,197,72,1,0,34,7,0,85,11,0,2,.309,.375,.524,.899,.395,134.8,3.10,1982-01-30
74,마르티네스01삼LF,128,550,482,93,134,27,2,25,240,96,28,11,50,7,4,79,12,2,9,.278,.349,.498,.847,.370,113.2,3.10,1970-10-03
75,페레즈04롯LF,125,532,490,60,154,17,0,18,225,86,7,6,33,5,6,66,19,1,3,.314,.362,.459,.821,.370,121.3,3.09,1969-06-04
76,가르시아09롯RF,130,539,467,72,124,29,1,29,242,84,4,3,62,5,2,124,11,0,5,.266,.354,.518,.873,.378,119.2,3.08,1975-10-29
77,마르티네스03LRF,131,552,483,70,132,29,2,17,216,70,27,14,53,8,1,67,3,1,7,.273,.350,.447,.798,.357,113.5,3.05,1970-10-03
78,대니돈16넥RF,129,497,417,65,123,33,1,16,206,70,1,0,70,5,4,72,8,1,4,.295,.399,.494,.893,.398,123.4,3.03,1984-07-20
79,피에14한CF,119,498,445,61,145,33,2,17,233,92,9,11,41,0,1,60,11,0,12,.326,.374,.524,.897,.390,115.7,3.03,1985-02-08
80,로사리오16한1B,127,532,492,78,158,31,2,33,292,120,1,3,33,4,3,90,16,1,2,.321,.367,.594,.961,.411,131.0,3.01,1989-02-23
81,프랭클린02현3B,49,198,152,30,42,9,1,14,95,30,4,2,34,10,3,52,2,0,2,.276,.434,.625,1.059,.445,180.7,3.01,1972-04-25
82,치멜리스98한2B,118,455,409,48,114,22,0,17,187,63,1,3,29,5,4,58,7,9,3,.279,.332,.457,.789,.341,112.7,2.93,1967-07-27
83,브리또03삼SS,102,433,380,59,97,17,1,20,176,58,2,2,31,10,0,58,8,9,3,.255,.326,.463,.789,.343,103.6,2.81,1972-05-28
